Name,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,transformed_user_score,Sales_SubIndex,Critic_SubIndex,Player_SubIndex,Game_Success_Index
Final Fantasy VIII,PS,Role-Playing,1.0,0.9999999999999999,1.0,0.7931034482758622,1.0000000000000002,0.30000000000000004,0.9591836734693879,0.9482758620689655,0.8250000000000002,0.9591836734693879,0.9108198451794512
New Super Mario Bros. U,WiiU,Platform,1.0,0.9999999999999999,1.0,1.0,0.8863636363636365,1.0,0.8163265306122449,1.0,0.9147727272727273,0.8163265306122449,0.9103664192949908
Mass Effect,X360,Role-Playing,1.0,0.868131868131868,0.11111111111111109,0.9310344827586208,1.0000000000000002,1.0,1.0,0.7275693655004001,1.0000000000000002,1.0,0.9091897885001335
Batman: Arkham City,X360,Action,1.0,0.9999999999999999,0.14814814814814814,1.0,1.0000000000000002,1.0,0.9387755102040816,0.787037037037037,1.0000000000000002,0.9387755102040816,0.9086041824137062
Crash Team Racing,PS,Racing,1.0,0.9999999999999999,1.0,0.7241379310344828,0.9772727272727273,0.2333333333333333,1.0,0.9310344827586207,0.7912878787878788,1.0,0.9074407871821665
Pok\xc3\xa9mon Platinum Version,DS,Role-Playing,1.0,0.9999999999999999,1.0,1.0,0.8636363636363638,0.6666666666666666,0.8979591836734693,1.0,0.8143939393939394,0.8979591836734693,0.9041177076891364
Batman: Arkham Asylum,X360,Action,1.0,0.9999999999999999,0.07407407407407407,1.0,1.0000000000000002,1.0,0.9387755102040816,0.7685185185185185,1.0000000000000002,0.9387755102040816,0.9024313429075335
God of War: Chains of Olympus,PSP,Action,1.0,0.9999999999999999,0.14814814814814814,1.0,1.0000000000000002,1.0,0.9183673469387754,0.787037037037037,1.0000000000000002,0.9183673469387754,0.9018014613252708
Battlefield 1,PS4,Shooter,1.0,0.9999999999999999,0.8518518518518517,1.0,1.0000000000000002,0.45000000000000007,0.8775510204081634,0.9629629629629629,0.8625000000000003,0.8775510204081634,0.9010046611237087
Fallout: New Vegas,X360,Role-Playing,1.0,0.9999999999999999,0.14814814814814814,1.0,0.8863636363636365,1.0,1.0,0.787037037037037,0.9147727272727273,1.0,0.9006032547699214
Uncharted 4: A Thiefs End,PS4,Shooter,1.0,0.9999999999999999,0.7037037037037036,1.0,1.0000000000000002,1.0,0.7755102040816326,0.9259259259259259,1.0000000000000002,0.7755102040816326,0.9004787100025196
Jak and Daxter: The Precursor Legacy,PS2,Platform,1.0,0.9999999999999999,0.5555555555555555,1.0,1.0000000000000002,0.4833333333333334,0.9387755102040816,0.8888888888888888,0.8708333333333336,0.9387755102040816,0.8994992441421014
Borderlands 2,X360,Shooter,1.0,0.9670329670329669,0.14814814814814814,0.8620689655172414,1.0000000000000002,0.8833333333333333,0.9795918367346939,0.7443125201745892,0.9708333333333335,0.9795918367346939,0.898245896747539
Grand Theft Auto V,PS4,Action,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,0.6938775510204083,1.0,1.0000000000000002,0.6938775510204083,0.8979591836734695
The Legend of Zelda: Spirit Tracks,DS,Action,0.9929078014184397,0.9999999999999999,1.0,0.8965517241379312,0.9545454545454546,1.0,0.7551020408163265,0.9723648813890927,0.9659090909090909,0.7551020408163265,0.8977920043715034
Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,0.4609929078014185,0.8241758241758241,1.0,0.6896551724137931,1.0000000000000002,0.9500000000000001,0.9591836734693879,0.743705976097759,0.9875000000000003,0.9591836734693879,0.8967965498557158
Battlefield: Bad Company 2,X360,Shooter,1.0,0.9999999999999999,0.14814814814814814,1.0,0.9772727272727273,1.0,0.9183673469387754,0.787037037037037,0.9829545454545454,0.9183673469387754,0.8961196431434525
Tekken 2,PS,Fighting,1.0,0.9999999999999999,1.0,0.7931034482758622,1.0000000000000002,0.033333333333333326,0.9795918367346939,0.9482758620689655,0.7583333333333335,0.9795918367346939,0.8954003440456644
LittleBigPlanet 2,PS3,Platform,1.0,0.9999999999999999,0.22222222222222218,1.0,1.0000000000000002,1.0,0.8775510204081634,0.8055555555555556,1.0000000000000002,0.8775510204081634,0.8943688586545729
Saints Row: The Third,X360,Action,0.8865248226950355,0.9999999999999999,0.25925925925925924,1.0,0.8863636363636365,1.0,0.9795918367346939,0.7864460204885736,0.9147727272727273,0.9795918367346939,0.8936035281653316
L.A. Noire,PS3,Adventure,0.9078014184397164,0.9999999999999999,0.44444444444444436,1.0,1.0000000000000002,1.0,0.8367346938775508,0.8380614657210401,1.0000000000000002,0.8367346938775508,0.891598719866197
Gears of War,X360,Shooter,1.0,0.9999999999999999,0.25925925925925924,1.0,1.0000000000000002,1.0,0.8571428571428572,0.8148148148148148,1.0000000000000002,0.8571428571428572,0.890652557319224
Batman: Arkham City,PS3,Action,1.0,0.9999999999999999,0.4074074074074074,1.0,1.0000000000000002,0.6,0.9183673469387754,0.8518518518518519,0.9000000000000002,0.9183673469387754,0.8900730662635424
Fallout 3,X360,Role-Playing,1.0,0.9999999999999999,0.33333333333333326,1.0,1.0000000000000002,1.0,0.8367346938775508,0.8333333333333333,1.0000000000000002,0.8367346938775508,0.8900226757369615
Fallout: New Vegas,PS3,Role-Playing,1.0,0.9999999999999999,0.37037037037037035,1.0,0.840909090909091,0.85,0.9795918367346939,0.8425925925925926,0.8431818181818184,0.9795918367346939,0.8884554158363681
Grand Theft Auto: Liberty City Stories,PSP,Action,1.0,0.9999999999999999,0.8888888888888887,1.0,0.9772727272727273,0.9833333333333333,0.7142857142857142,0.9722222222222222,0.9787878787878788,0.7142857142857142,0.8884319384319385
Battlefield: Bad Company 2,PS3,Shooter,0.9432624113475178,0.9999999999999999,0.2962962962962963,1.0,0.9772727272727273,0.8833333333333333,0.8979591836734693,0.8098896769109535,0.9537878787878787,0.8979591836734693,0.8872122464574339
Uncharted: Drakes Fortune,PS3,Action,1.0,0.9999999999999999,0.44444444444444436,1.0,0.9772727272727273,1.0,0.8163265306122449,0.861111111111111,0.9829545454545454,0.8163265306122449,0.8867973957259672
Burnout 3: Takedown,PS2,Racing,0.8723404255319149,0.9999999999999999,0.0,1.0,1.0000000000000002,0.7666666666666667,1.0,0.7180851063829787,0.9416666666666669,1.0,0.8865839243498819
Tekken Tag Tournament,PS2,Fighting,1.0,0.9999999999999999,1.0,1.0,0.9090909090909092,0.31666666666666665,0.8979591836734693,1.0,0.7609848484848485,0.8979591836734693,0.8863146773861059
Devil May Cry 3: Dantes Awakening,PS2,Action,0.7021276595744681,0.6923076923076922,1.0,0.6551724137931035,0.8863636363636365,0.9,1.0,0.762401941418816,0.8897727272727273,1.0,0.8840582228971812
Super Paper Mario,Wii,Platform,1.0,0.9450549450549449,1.0,1.0,0.9090909090909092,0.8333333333333334,0.7755102040816326,0.9862637362637362,0.8901515151515152,0.7755102040816326,0.8839751518322947
Gran Turismo 4,PS2,Racing,1.0,0.010989010989010988,1.0,1.0,1.0000000000000002,1.0,0.8979591836734693,0.7527472527472527,1.0000000000000002,0.8979591836734693,0.8835688121402407
Final Fantasy IX,PS,Role-Playing,1.0,0.846153846153846,1.0,0.48275862068965525,1.0000000000000002,0.2666666666666666,1.0,0.8322281167108753,0.8166666666666669,1.0,0.8829649277925141
Dark Souls III,PS4,Role-Playing,0.48936170212765956,0.5164835164835164,1.0,0.8275862068965517,1.0000000000000002,1.0,0.9387755102040816,0.7083578563769319,1.0000000000000002,0.9387755102040816,0.8823777888603379
Fire Emblem: Awakening,3DS,Role-Playing,0.6382978723404256,0.49450549450549447,1.0,0.4482758620689656,1.0000000000000002,1.0,1.0,0.6452698072287214,1.0000000000000002,1.0,0.8817566024095739
Resistance: Fall of Man,PS3,Shooter,1.0,0.9999999999999999,0.5185185185185185,1.0,0.9318181818181819,1.0,0.8163265306122449,0.8796296296296297,0.9488636363636365,0.8163265306122449,0.8816065988685037
Wii Sports Resort,Wii,Sports,1.0,0.9999999999999999,1.0,1.0,0.7954545454545456,1.0,0.7959183673469388,1.0,0.8465909090909092,0.7959183673469388,0.8808364254792828
Forza Motorsport 4,X360,Racing,1.0,0.9999999999999999,0.22222222222222218,1.0,1.0000000000000002,1.0,0.8367346938775508,0.8055555555555556,1.0000000000000002,0.8367346938775508,0.8807634164777022
